ID,SalePrice
1461,145888.2360905409
1462,193213.90196681023
1463,208061.69912219048
1464,219641.03683829308
1465,176219.51043605804
1466,208918.10029745102
1467,231433.74919891357
1468,206728.05696725845
1469,207259.25475358963
1470,152014.44871723652
1471,212177.6494383812
1472,116862.54546046257
1473,108334.0173959732
1474,197436.6633594036
1475,107256.17505609989
1476,391369.55440044403
1477,269379.80726361275
1478,374236.49072647095
1479,272972.59256243706
1480,382050.32736063004
1481,333933.2762360573
1482,198600.7173359394
1483,242754.75576519966
1484,221623.1282055378
1485,226319.14794445038
1486,271496.99315428734
1487,258397.45953679085
1488,155998.105853796
1489,183608.97161066532
1490,245793.55001449585
1491,232206.1775624752
1492,139070.0577944517
1493,219167.44098067284
1494,223876.19614601135
1495,318578.98712158203
1496,185521.42314612865
1497,153761.81222498417
1498,192723.7905561924
1499,185111.38066649437
1500,169861.5625500679
1501,191830.5106461048
1502,147148.6270427704
1503,264937.2360110283
1504,218869.75601315498
1505,215027.00984477997
1506,208457.28486776352
1507,260486.0019683838
1508,171843.02389621735
1509,183791.3402169943
1510,186233.72949659824
1511,177557.6302409172
1512,175514.73058760166
1513,161757.24118947983
1514,71963.72646838427
1515,172520.69033682346
1516,171028.32786738873
1517,158458.88949930668
1518,193712.92367577553
1519,239396.09080553055
1520,135013.1719559431
1521,154505.38337230682
1522,244865.7089471817
1523,119609.14492607117
1524,123115.98859727383
1525,176782.8617990017
1526,99834.74031090736
1527,111174.76001381874
1528,130707.50653743744
1529,166244.51018869877
1530,204885.1102590561
1531,169965.81979095936
1532,116792.2531068325
1533,147067.16306507587
1534,158732.64491558075
1535,169429.10932004452
1536,107951.33583247662
1537,53059.51036512852
1538,122737.76218295097
1539,163666.90263152122
1540,52047.516480088234
1541,111115.29052257538
1542,109639.53360915184
1543,127882.61570036411
1544,53099.2466956377
1545,60505.98844885826
1546,165734.9243760109
1547,155882.82324373722
1548,126264.2715126276
1549,120812.92398273945
1550,145074.99136030674
